"batter","name","pa","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","barrel_batted_rate","flares_burners","solid","barrels","b_bb_percent","flare_burner_pa","solid_pa","barrel_pa","ipa"
606466," Ketel Marte",374,"0.307","0.495","0.385","0.372","0.37","0.188","91.1","8.9","79","19","24","0.083","0.21","0.05","0.06","0.145"
606992," Eric Haase",381,"0.235","0.463","0.316","0.322","0.291","0.228","90.9","13.7","52","11","32","0.068","0.14","0.03","0.08","0.134"
607043," Brandon Nimmo",386,"0.273","0.393","0.37","0.351","0.386","0.12","89.3","4","72","11","9","0.140","0.19","0.03","0.02","0.113"
607054," Jace Peterson",302,"0.239","0.372","0.318","0.322","0.343","0.133","87.7","5.2","52","12","10","0.126","0.17","0.04","0.03","0.117"
607208," Trea Turner",646,"0.304","0.485","0.386","0.364","0.355","0.181","89.6","7.4","136","25","34","0.063","0.21","0.04","0.05","0.125"
607680," Kevin Pillar",347,"0.223","0.371","0.296","0.28","0.27","0.148","85.8","7.3","55","16","18","0.032","0.16","0.05","0.05","0.105"
607732," Jacob Stallings",427,"0.245","0.369","0.312","0.314","0.335","0.125","88.1","4.5","86","17","13","0.115","0.20","0.04","0.03","0.119"
608070," Jose Ramirez",636,"0.284","0.511","0.372","0.377","0.375","0.227","90","11.1","102","23","52","0.113","0.16","0.04","0.08","0.153"
608324," Alex Bregman",400,"0.263","0.422","0.336","0.336","0.35","0.159","89","6.4","74","21","19","0.110","0.19","0.05","0.05","0.132"
608336," Joey Gallo",616,"0.203","0.466","0.348","0.355","0.354","0.263","91.5","18.5","46","11","52","0.180","0.07","0.02","0.08","0.150"
608348," Carson Kelly",359,"0.251","0.425","0.328","0.343","0.355","0.174","88.2","8.5","60","13","20","0.123","0.17","0.04","0.06","0.134"
608369," Corey Seager",409,"0.295","0.53","0.389","0.392","0.386","0.235","91","12.4","62","28","35","0.117","0.15","0.07","0.09","0.164"
608385," Jesse Winker",485,"0.295","0.524","0.403","0.39","0.385","0.229","90.6","11.2","92","24","39","0.109","0.19","0.05","0.08","0.161"
608596," Tom Murphy",325,"0.193","0.347","0.291","0.292","0.299","0.154","88.6","8.8","43","9","16","0.123","0.13","0.03","0.05","0.118"
608686," Jack Mayfield",290,"0.189","0.321","0.284","0.251","0.246","0.132","85.3","6.4","33","12","13","0.059","0.11","0.04","0.04","0.095"
614177," Franmil Reyes",466,"0.247","0.514","0.354","0.354","0.32","0.267","92","16.9","61","16","44","0.092","0.13","0.03","0.09","0.151"
620443," Luis Torrens",378,"0.245","0.428","0.311","0.318","0.304","0.183","90.9","10.4","63","18","26","0.074","0.17","0.05","0.07","0.135"
621020," Dansby Swanson",653,"0.251","0.456","0.322","0.332","0.316","0.205","89.3","11.4","97","26","49","0.080","0.15","0.04","0.08","0.136"
621028," Kevin Newman",554,"0.255","0.33","0.249","0.275","0.293","0.076","85.3","1.6","110","17","8","0.049","0.20","0.03","0.01","0.082"
621035," Chris Taylor",582,"0.237","0.422","0.338","0.329","0.33","0.185","88.2","10.2","81","21","35","0.108","0.14","0.04","0.06","0.127"
621043," Carlos Correa",640,"0.296","0.482","0.364","0.373","0.38","0.187","90.2","9.4","117","31","42","0.117","0.18","0.05","0.07","0.148"
621433," Brett Phillips",292,"0.179","0.359","0.313","0.284","0.279","0.18","89.6","11.1","28","14","16","0.113","0.10","0.05","0.05","0.117"
621438," Tyrone Taylor",271,"0.24","0.402","0.333","0.315","0.316","0.162","88.6","7.6","42","8","14","0.074","0.15","0.03","0.05","0.112"
621439," Byron Buxton",254,"0.3","0.611","0.419","0.407","0.352","0.311","92.5","17.9","30","8","29","0.051","0.12","0.03","0.11","0.153"
621446," Lewis Brinson",290,"0.242","0.374","0.275","0.286","0.279","0.131","88.5","6.4","53","8","13","0.045","0.18","0.03","0.04","0.104"
621453," Steven Duggar",297,"0.233","0.408","0.327","0.308","0.308","0.175","88","8.3","45","11","15","0.091","0.15","0.04","0.05","0.117"
621466," DJ Stewart",318,"0.205","0.383","0.31","0.315","0.325","0.178","87.8","9.4","40","8","17","0.138","0.13","0.03","0.05","0.124"
621550," Patrick Wisdom",375,"0.216","0.46","0.346","0.321","0.291","0.244","91.2","16.2","49","14","30","0.085","0.13","0.04","0.08","0.137"
621563," Joey Wendle",501,"0.238","0.356","0.317","0.286","0.295","0.118","87.9","4.6","88","14","16","0.056","0.18","0.03","0.03","0.094"
621566," Matt Olson",673,"0.264","0.507","0.379","0.378","0.374","0.243","91.6","12.7","90","36","58","0.131","0.13","0.05","0.09","0.160"
622110," Matt Duffy",322,"0.275","0.385","0.327","0.325","0.346","0.11","87.5","4","71","6","9","0.078","0.22","0.02","0.03","0.105"
622534," Manuel Margot",464,"0.268","0.397","0.301","0.318","0.328","0.129","87.9","5.1","83","19","17","0.080","0.18","0.04","0.04","0.109"
623520," David Bote",327,"0.231","0.399","0.268","0.312","0.308","0.168","89.9","9.9","41","14","22","0.083","0.13","0.04","0.07","0.125"
623912," Harold Ramirez",361,"0.269","0.402","0.302","0.308","0.306","0.134","91.3","6.3","60","22","18","0.039","0.17","0.06","0.05","0.111"
623993," Anthony Santander",438,"0.269","0.446","0.307","0.328","0.314","0.177","90.7","8.4","93","20","26","0.053","0.21","0.05","0.06","0.131"
624413," Pete Alonso",637,"0.271","0.542","0.363","0.377","0.352","0.271","91","14.8","86","34","64","0.094","0.14","0.05","0.10","0.162"
624415," Cavan Biggio",294,"0.207","0.331","0.298","0.285","0.308","0.124","88.9","5.6","39","10","10","0.126","0.13","0.03","0.03","0.107"
624424," Michael Conforto",479,"0.253","0.436","0.322","0.35","0.364","0.183","88.5","9.2","79","16","27","0.123","0.16","0.03","0.06","0.134"
624428," Adam Frazier",639,"0.288","0.376","0.341","0.324","0.353","0.088","85.4","1","166","24","5","0.075","0.26","0.04","0.01","0.100"
624431," Jose Trevino",302,"0.248","0.374","0.261","0.285","0.279","0.125","87.5","4.3","54","14","9","0.040","0.18","0.05","0.03","0.093"
624513," Dom Nunez",263,"0.171","0.313","0.294","0.262","0.279","0.143","86","9.4","27","11","12","0.129","0.10","0.04","0.05","0.113"
624585," Jorge Soler",602,"0.25","0.494","0.323","0.359","0.341","0.245","91.2","12.7","78","28","47","0.111","0.13","0.05","0.08","0.144"
624641," Edmundo Sosa",326,"0.266","0.394","0.322","0.326","0.342","0.128","86.7","3.9","57","11","9","0.052","0.17","0.03","0.03","0.090"
628338," Guillermo Heredia",347,"0.221","0.337","0.292","0.29","0.313","0.116","86.6","4","57","17","9","0.092","0.16","0.05","0.03","0.101"
628450," Yadiel Hernandez",289,"0.241","0.404","0.32","0.306","0.301","0.163","89.6","5.8","54","18","12","0.076","0.19","0.06","0.04","0.119"
628451," Andy Ibanez",272,"0.264","0.415","0.325","0.32","0.312","0.151","88.8","7.3","49","11","16","0.055","0.18","0.04","0.06","0.122"
630105," Jake Cronenworth",643,"0.282","0.449","0.341","0.348","0.356","0.167","88.6","7.2","118","19","35","0.086","0.18","0.03","0.05","0.125"
640457," Austin Meadows",591,"0.24","0.425","0.327","0.326","0.325","0.184","89.3","8.7","91","31","35","0.100","0.15","0.05","0.06","0.132"
641313," Tim Anderson",551,"0.284","0.448","0.345","0.329","0.314","0.164","89.6","7.8","105","23","32","0.040","0.19","0.04","0.06","0.119"
641343," Jake Bauers",315,"0.233","0.361","0.257","0.297","0.311","0.128","88.1","5.4","49","15","11","0.095","0.16","0.05","0.03","0.108"
641355," Cody Bellinger",350,"0.209","0.358","0.237","0.281","0.281","0.149","89.3","7.1","48","19","16","0.089","0.14","0.05","0.05","0.113"
641432," Willie Calhoun",284,"0.275","0.403","0.301","0.323","0.332","0.129","90.2","3.5","65","12","7","0.074","0.23","0.04","0.02","0.109"
641487," J.P. Crawford",687,"0.257","0.339","0.314","0.298","0.325","0.082","86.3","2.4","147","19","12","0.084","0.21","0.03","0.02","0.098"
641531," Hunter Dozier",543,"0.224","0.388","0.293","0.299","0.295","0.163","89.9","8.8","75","31","29","0.079","0.14","0.06","0.05","0.118"
641584," Jake Fraley",265,"0.229","0.361","0.322","0.335","0.371","0.132","85.3","6.2","35","6","9","0.174","0.13","0.02","0.03","0.118"
641658," Garrett Hampson",494,"0.236","0.374","0.288","0.291","0.292","0.138","87","5","83","30","17","0.067","0.17","0.06","0.03","0.106"
641680," Jonah Heim",285,"0.23","0.372","0.256","0.285","0.275","0.142","87.1","6.2","49","13","13","0.053","0.17","0.05","0.05","0.109"
641820," Trey Mancini III",616,"0.267","0.452","0.326","0.341","0.337","0.186","88.9","10.4","99","32","43","0.083","0.16","0.05","0.07","0.138"
641856," Billy McKinney",300,"0.213","0.359","0.277","0.291","0.3","0.145","88.1","6.4","42","10","12","0.107","0.14","0.03","0.04","0.109"
641857," Ryan McMahon",596,"0.244","0.426","0.334","0.325","0.323","0.182","90.5","7.3","93","38","27","0.099","0.16","0.06","0.05","0.122"
641933," Tyler O'Neill",537,"0.279","0.583","0.384","0.392","0.347","0.303","93","17.9","74","22","54","0.071","0.14","0.04","0.10","0.153"
642086," Dominic Smith",493,"0.262","0.421","0.291","0.326","0.323","0.159","89","6.5","102","23","22","0.065","0.21","0.05","0.04","0.120"
642133," Rowdy Tellez",325,"0.265","0.471","0.306","0.34","0.326","0.206","92.2","11.6","49","17","25","0.071","0.15","0.05","0.08","0.138"
642162," Pat Valaika",281,"0.213","0.337","0.238","0.265","0.264","0.124","86.8","4.8","44","19","8","0.057","0.16","0.07","0.03","0.096"
642165," Josh VanMeter",310,"0.203","0.321","0.287","0.274","0.289","0.119","89.3","5.2","40","14","10","0.106","0.13","0.05","0.03","0.102"
642336," Francisco Mejia",277,"0.23","0.345","0.32","0.285","0.296","0.115","85.7","4.4","43","9","9","0.061","0.16","0.03","0.03","0.092"
642708," Amed Rosario",588,"0.268","0.369","0.315","0.301","0.311","0.101","88.8","2.8","125","20","12","0.053","0.21","0.03","0.02","0.093"
642715," Willy Adames",555,"0.236","0.438","0.349","0.325","0.314","0.202","89.5","11.4","77","26","38","0.103","0.14","0.05","0.07","0.136"
642721," Kelvin Gutierrez",295,"0.219","0.305","0.27","0.263","0.28","0.087","89.9","3.6","43","14","6","0.064","0.15","0.05","0.02","0.084"
642727," Sergio Alcantara",255,"0.208","0.298","0.279","0.275","0.307","0.09","87.5","3.4","46","8","5","0.118","0.18","0.03","0.02","0.103"
643217," Andrew Benintendi",538,"0.261","0.456","0.328","0.331","0.313","0.194","89.6","8.9","103","27","36","0.067","0.19","0.05","0.07","0.137"
643265," Garrett Cooper",250,"0.269","0.458","0.367","0.362","0.368","0.19","91.1","10.8","44","10","16","0.120","0.18","0.04","0.06","0.144"
643393," Tony Kemp",397,"0.25","0.349","0.351","0.321","0.36","0.099","86.7","1","75","18","3","0.131","0.19","0.05","0.01","0.101"
643396," Isiah Kiner-Falefa",677,"0.267","0.349","0.293","0.292","0.309","0.082","85.5","1.8","151","18","10","0.041","0.22","0.03","0.01","0.085"
643446," Jeff McNeil",426,"0.257","0.387","0.301","0.315","0.325","0.13","88.1","4.3","88","14","14","0.068","0.21","0.03","0.03","0.107"
643524," Frank Schwindel",259,"0.272","0.454","0.403","0.332","0.32","0.182","86.9","8","46","18","15","0.062","0.18","0.07","0.06","0.130"
644374," Yu Chang",251,"0.233","0.381","0.294","0.283","0.272","0.148","87.1","7.1","43","11","12","0.044","0.17","0.04","0.05","0.107"
645277," Ozzie Albies",686,"0.26","0.465","0.336","0.332","0.312","0.205","89.6","9.3","113","37","47","0.069","0.16","0.05","0.07","0.134"
645302," Victor Robles",369,"0.216","0.315","0.275","0.289","0.321","0.099","84.1","2.6","51","20","6","0.089","0.14","0.05","0.02","0.087"
646240," Rafael Devers",664,"0.291","0.57","0.373","0.395","0.366","0.279","92.9","15","97","32","64","0.093","0.15","0.05","0.10","0.160"
647304," Josh Naylor",250,"0.254","0.417","0.302","0.311","0.302","0.163","89.8","7.4","40","12","14","0.056","0.16","0.05","0.06","0.116"
647351," Abraham Toro",375,"0.247","0.416","0.303","0.323","0.323","0.168","86.8","7.4","59","14","21","0.083","0.16","0.04","0.06","0.121"
649557," Aledmys Diaz",319,"0.267","0.411","0.311","0.319","0.324","0.144","88.7","6.5","60","14","15","0.050","0.19","0.04","0.05","0.112"
649966," Luis Urias",570,"0.241","0.427","0.34","0.333","0.338","0.186","87.9","9.3","77","28","35","0.111","0.14","0.05","0.06","0.132"
650333," Luis Arraez",479,"0.295","0.411","0.321","0.337","0.359","0.116","88.4","2.3","122","17","9","0.090","0.25","0.04","0.02","0.113"
650402," Gleyber Torres",516,"0.265","0.423","0.307","0.331","0.336","0.159","87.1","7.8","99","21","25","0.097","0.19","0.04","0.05","0.127"
650489," Willi Castro",450,"0.244","0.364","0.271","0.291","0.296","0.12","85.6","5.2","77","9","16","0.051","0.17","0.02","0.04","0.093"
650490," Yandy Diaz",541,"0.254","0.399","0.325","0.332","0.353","0.145","89.9","7","80","20","27","0.128","0.15","0.04","0.05","0.126"
656252," Bobby Bradley",279,"0.225","0.47","0.314","0.333","0.309","0.245","89","16.8","32","8","24","0.090","0.11","0.03","0.09","0.137"
656305," Matt Chapman",622,"0.209","0.424","0.311","0.321","0.315","0.214","89.7","13.7","56","16","46","0.129","0.09","0.03","0.07","0.131"
656371," Isan Diaz",278,"0.203","0.308","0.252","0.272","0.305","0.105","88.7","4.1","42","9","7","0.122","0.15","0.03","0.03","0.102"
656555," Rhys Hoskins",443,"0.249","0.564","0.364","0.378","0.336","0.315","91.2","17","45","24","48","0.106","0.10","0.05","0.11","0.165"
656775," Cedric Mullins II",675,"0.272","0.448","0.372","0.344","0.344","0.176","89.4","8.1","127","20","39","0.087","0.19","0.03","0.06","0.129"
656811," Ryan O'Hearn",254,"0.235","0.398","0.274","0.294","0.281","0.162","90.8","8.3","40","15","14","0.051","0.16","0.06","0.06","0.116"
656941," Kyle Schwarber",471,"0.265","0.566","0.392","0.399","0.375","0.3","92.3","17.5","57","19","47","0.136","0.12","0.04","0.10","0.167"
656976," Pavin Smith",545,"0.258","0.403","0.318","0.317","0.321","0.145","87.2","5.1","93","32","20","0.077","0.17","0.06","0.04","0.111"
657041," Lane Thomas",264,"0.234","0.382","0.328","0.322","0.342","0.148","91","7.3","36","10","12","0.140","0.14","0.04","0.05","0.123"
657077," Alex Verdugo",604,"0.285","0.446","0.334","0.342","0.348","0.161","90","7.3","123","24","32","0.084","0.20","0.04","0.05","0.130"
657557," Paul DeJong",402,"0.212","0.416","0.293","0.312","0.298","0.205","86.3","10.6","41","17","26","0.087","0.10","0.04","0.06","0.118"
657656," Ramon Laureano",378,"0.245","0.459","0.327","0.335","0.317","0.214","87.9","10.7","48","19","26","0.071","0.13","0.05","0.07","0.125"
658069," Joshua Fuentes",284,"0.204","0.281","0.261","0.23","0.238","0.077","85.2","2.4","48","10","5","0.042","0.17","0.04","0.02","0.077"
660162," Yoan Moncada",616,"0.261","0.426","0.347","0.353","0.374","0.165","90.1","8.2","102","22","29","0.136","0.17","0.04","0.05","0.130"
660271," Shohei Ohtani",639,"0.269","0.616","0.393","0.411","0.385","0.347","93.9","22.3","69","22","76","0.150","0.11","0.03","0.12","0.184"
660294," Yoshi Tsutsugo",262,"0.193","0.344","0.302","0.281","0.286","0.151","89.6","6.9","36","10","11","0.111","0.14","0.04","0.04","0.112"
660670," Ronald Acuna Jr.",360,"0.295","0.607","0.412","0.43","0.409","0.312","93.8","20.3","51","14","44","0.136","0.14","0.04","0.12","0.192"
660821," Jesus Sanchez",251,"0.244","0.482","0.339","0.337","0.314","0.238","90.2","12.7","34","9","19","0.080","0.14","0.04","0.08","0.132"
662139," Daulton Varsho",315,"0.248","0.43","0.322","0.323","0.32","0.182","87.7","7.3","44","19","16","0.095","0.14","0.06","0.05","0.121"
663586," Austin Riley",662,"0.281","0.512","0.379","0.366","0.348","0.231","90.1","13.3","102","37","56","0.079","0.15","0.06","0.08","0.149"
663616," Trevor Larnach",301,"0.209","0.372","0.3","0.304","0.31","0.163","90","9.5","37","10","15","0.103","0.12","0.03","0.05","0.112"
663624," Ryan Mountcastle",586,"0.245","0.458","0.335","0.326","0.303","0.213","89.1","11.8","82","23","45","0.070","0.14","0.04","0.08","0.132"
663647," Ke'Bryan Hayes",396,"0.249","0.369","0.301","0.299","0.308","0.12","90.2","5.1","69","14","14","0.078","0.17","0.04","0.04","0.105"
663656," Kyle Tucker",567,"0.307","0.58","0.383","0.4","0.372","0.273","91.4","11.6","101","48","47","0.093","0.18","0.08","0.08","0.165"
663697," Jonathan India",631,"0.259","0.443","0.363","0.356","0.369","0.184","87.6","9.6","108","19","38","0.113","0.17","0.03","0.06","0.135"
663757," Trent Grisham",527,"0.241","0.368","0.32","0.309","0.328","0.127","88.8","5.2","84","21","18","0.102","0.16","0.04","0.03","0.108"
663886," Tyler Stephenson",402,"0.257","0.391","0.346","0.324","0.343","0.134","88.4","5.4","79","12","15","0.102","0.20","0.03","0.04","0.117"
663898," Brendan Rodgers",415,"0.253","0.414","0.341","0.311","0.3","0.161","88.8","6.2","71","19","19","0.046","0.17","0.05","0.05","0.107"
663993," Nathaniel Lowe",642,"0.236","0.402","0.337","0.324","0.333","0.166","90.8","9.5","90","18","37","0.125","0.14","0.03","0.06","0.128"
664023," Ian Happ",535,"0.22","0.397","0.328","0.317","0.32","0.177","89.5","10.9","67","16","33","0.116","0.13","0.03","0.06","0.126"
664034," Ty France",650,"0.27","0.436","0.353","0.347","0.353","0.166","88.5","6.8","137","23","32","0.071","0.21","0.04","0.05","0.124"
664040," Brandon Lowe",615,"0.25","0.5","0.363","0.36","0.343","0.25","89.3","14","80","25","49","0.111","0.13","0.04","0.08","0.144"
664056," Harrison Bader",401,"0.232","0.394","0.331","0.295","0.292","0.162","86.2","7","53","17","19","0.067","0.13","0.04","0.05","0.104"
664238," Dylan Moore",377,"0.204","0.348","0.271","0.288","0.296","0.144","86.5","8.6","42","10","19","0.106","0.11","0.03","0.05","0.109"
664702," Myles Straw",638,"0.262","0.339","0.311","0.308","0.341","0.077","87.1","1.3","127","13","6","0.105","0.20","0.02","0.01","0.092"
664761," Alec Bohm",417,"0.266","0.398","0.285","0.317","0.323","0.132","92","6.6","82","20","18","0.074","0.20","0.05","0.04","0.119"
664774," LaMonte Wade Jr.",381,"0.256","0.475","0.343","0.347","0.331","0.219","90.1","10.6","64","18","26","0.087","0.17","0.05","0.07","0.138"
664913," Seth Brown",307,"0.225","0.462","0.315","0.318","0.286","0.237","88.9","13.9","33","15","25","0.075","0.11","0.05","0.08","0.132"
665120," Jared Walsh",585,"0.257","0.436","0.357","0.327","0.323","0.179","89.6","11.3","97","19","41","0.082","0.17","0.03","0.07","0.134"
665487," Fernando Tatis Jr.",546,"0.279","0.618","0.403","0.408","0.363","0.338","93.9","21.3","59","24","70","0.114","0.11","0.04","0.13","0.184"
665489," Vladimir Guerrero Jr.",698,"0.307","0.594","0.419","0.418","0.399","0.287","95.1","15.1","104","44","73","0.123","0.15","0.06","0.10","0.180"
665742," Juan Soto",654,"0.305","0.545","0.42","0.429","0.463","0.241","93","13.3","97","22","54","0.222","0.15","0.03","0.08","0.182"
665862," Jazz Chisholm Jr.",507,"0.238","0.409","0.312","0.307","0.295","0.171","90.2","9","72","21","28","0.067","0.14","0.04","0.06","0.113"
666158," Gavin Lux",381,"0.26","0.387","0.303","0.323","0.345","0.126","89.8","3.9","65","15","10","0.108","0.17","0.04","0.03","0.105"
666182," Bo Bichette",690,"0.291","0.49","0.354","0.355","0.337","0.198","91.4","9.9","141","21","49","0.058","0.20","0.03","0.07","0.137"
666185," Dylan Carlson",619,"0.247","0.407","0.336","0.322","0.328","0.159","88.2","7","107","28","28","0.092","0.17","0.05","0.05","0.120"
666915," Bobby Dalbec",453,"0.236","0.522","0.334","0.344","0.294","0.287","92.4","20.2","53","11","52","0.062","0.12","0.02","0.11","0.154"
666969," Adolis Garcia",622,"0.223","0.426","0.314","0.302","0.271","0.203","91","11.5","94","24","45","0.051","0.15","0.04","0.07","0.125"
666971," Lourdes Gurriel Jr.",541,"0.272","0.462","0.333","0.339","0.319","0.19","89.7","9.6","96","29","39","0.059","0.18","0.05","0.07","0.137"
668227," Randy Arozarena",604,"0.222","0.369","0.35","0.304","0.313","0.147","89.9","8.2","74","20","30","0.093","0.12","0.03","0.05","0.109"
668731," Akil Baddoo",461,"0.227","0.403","0.329","0.309","0.303","0.176","86","8.8","67","19","26","0.098","0.15","0.04","0.06","0.124"
668804," Bryan Reynolds",646,"0.294","0.524","0.385","0.386","0.384","0.23","89.4","10.4","116","28","46","0.116","0.18","0.04","0.07","0.151"
668942," Josh Rojas",550,"0.237","0.357","0.327","0.299","0.318","0.12","88.2","4.8","98","16","17","0.105","0.18","0.03","0.03","0.108"
669016," Brandon Marsh",260,"0.266","0.415","0.296","0.325","0.327","0.15","92.1","10.9","53","8","14","0.077","0.20","0.03","0.05","0.127"
669221," Sean Murphy",448,"0.24","0.441","0.309","0.337","0.329","0.201","89.2","11.3","67","16","32","0.089","0.15","0.04","0.07","0.134"
669242," Tommy Edman",691,"0.274","0.401","0.301","0.316","0.32","0.127","87.5","4.2","138","32","22","0.055","0.20","0.05","0.03","0.104"
669256," Nick Solak",511,"0.238","0.361","0.299","0.299","0.31","0.124","86.9","6.5","71","15","23","0.067","0.14","0.03","0.05","0.100"
669257," Will Smith",501,"0.25","0.472","0.364","0.364","0.365","0.221","90.1","10.8","76","30","34","0.116","0.15","0.06","0.07","0.145"
669720," Austin Hays",529,"0.245","0.432","0.328","0.316","0.298","0.187","88.8","9.1","79","20","35","0.053","0.15","0.04","0.07","0.120"
670032," Nicky Lopez",565,"0.239","0.305","0.329","0.283","0.313","0.065","86.8","0.7","105","17","3","0.087","0.19","0.03","0.01","0.082"
670541," Yordan Alvarez",598,"0.28","0.571","0.37","0.39","0.351","0.291","93.2","15.9","80","29","60","0.084","0.13","0.05","0.10","0.158"
672284," Jarred Kelenic",377,"0.219","0.409","0.27","0.311","0.301","0.19","87.5","9.9","48","13","22","0.095","0.13","0.03","0.06","0.119"
673357," Luis Robert",296,"0.302","0.546","0.399","0.382","0.35","0.244","91.2","12.5","55","14","24","0.047","0.19","0.05","0.08","0.142"
673490," Ha-Seong Kim",298,"0.209","0.309","0.27","0.265","0.279","0.1","86.7","4.5","39","12","9","0.074","0.13","0.04","0.03","0.090"
676801," Chas McCormick",320,"0.223","0.423","0.326","0.31","0.293","0.2","90.3","10.2","48","12","19","0.078","0.15","0.04","0.06","0.121"
677551," Wander Franco",308,"0.281","0.414","0.348","0.334","0.342","0.132","88.2","4.9","68","11","12","0.078","0.22","0.04","0.04","0.119"
680777," Ryan Jeffers",293,"0.207","0.415","0.289","0.299","0.277","0.209","89.2","14.5","38","6","21","0.075","0.13","0.02","0.07","0.122"
683734," Andrew Vaughn",469,"0.243","0.434","0.306","0.332","0.321","0.192","91.1","10.9","68","22","35","0.087","0.14","0.05","0.07","0.138"
